Property Address,Insight 1,Insight 2,Driver,Account,Criticality
"6906 Andre Coves St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Medium
"4205 Mills Valley St, Boston",Work Orders,Completion Rate,High number of reactive work orders,TechSphere Inc.,Low
"1996 Jessica Underpass St, Atlanta",Work Orders,Reactive,High number of reactive work orders,NexaRetail,Critical
"744 Clark Ranch St, Houston",Work Orders,Reactive,High number of reactive work orders,TechSphere Inc.,Critical
"8640 Estes Ports St, San Francisco",Energy Usage,Peak Hours,Low energy efficiency,GreenLeaf Co.,High
"5708 Harris Vista St, Boston",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Critical
"2507 Michael Parks St, Boston",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,Critical
"4044 Hunter Squares St, Houston",Leases,Occupancy,Low renewal rates,Bank of ACME,High
"8369 Scott Meadows St, Dallas",Work Orders,Reactive,High number of reactive work orders,StreamView Media,Critical
"8744 Beth Drives St, Dallas",Energy Usage,Energy Efficiency,Low energy efficiency,Skyline Properties,High
"9171 Campbell Points St, Miami",Leases,Expiring,Low renewal rates,TechSphere Inc.,Critical
"990 Guerra Hills St, Miami",Leases,Renewal Rate,High number of expiring leases,EverGrow Farms,Critical
"9235 Foster Summit St, Houston",Work Orders,Preventative,High number of reactive work orders,StreamView Media,Low
"3283 Juarez Place St, Chicago",Compliance,Regulatory Updates,Upcoming regulatory changes,Skyline Properties,Low
"8799 Warner Circle St, Boston",Compliance,Compliance Score,Multiple non-compliance incidents,TechSphere Inc.,Low
"5881 Pitts Isle St, Atlanta",Leases,Occupancy,High number of expiring leases,StreamView Media,High
"6105 Kline Streets St, San Francisco",Leases,Expiring,High number of expiring leases,StreamView Media,Critical
"6273 Jeremy Ridge St, Boston",Leases,Renewal Rate,High number of expiring leases,Quantum Dynamics,Low
"7982 Ramos Fields St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,TechSphere Inc.,Low
"5970 Brittany Glen St, Atlanta",Work Orders,Completion Rate,Completion Rates below 50%,EverGrow Farms,Critical
"3295 David Valleys St, Atlanta",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Critical
"7552 Carroll Alley St, Chicago",Leases,Renewal Rate,High number of expiring leases,Quantum Dynamics,Low
"1868 Mathis Pine St, Los Angeles",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,StreamView Media,High
"753 Edward Island St, San Francisco",Work Orders,Preventative,High number of reactive work orders,Quantum Dynamics,Low
"3474 Wood Wells St, Los Angeles",Compliance,Compliance Score,Upcoming regulatory changes,StreamView Media,Low
"6410 Juan Lock St, Seattle",Energy Usage,Peak Hours,Low energy efficiency,TechSphere Inc.,Medium
"5888 Robertson Hills St, Chicago",Work Orders,Completion Rate,High number of reactive work orders,Skyline Properties,Medium
"6522 Hatfield Passage St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,Critical
"8447 Troy Grove St, Houston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Skyline Properties,Medium
"8189 Andrews Heights St, New York",Leases,Occupancy,Low renewal rates,NexaRetail,Low
"2118 Carter Walk St, Los Angeles",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Bank of ACME,High
"5136 Haas Mission St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,StreamView Media,Critical
"405 Bailey Court St, Seattle",Budgets,Budget Compliance,Energy Costs above 15% mean,Quantum Dynamics,Critical
"4250 Blankenship Pine St, Los Angeles",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,Quantum Dynamics,High
"5176 Jennifer Island St, Miami",Budgets,Budget Compliance,Energy Costs above 15% mean,Quantum Dynamics,High
"6174 Oliver Corners St, New York",Leases,Renewal Rate,High number of expiring leases,StreamView Media,High
"6960 Christina Causeway St, Chicago",Compliance,Regulatory Updates,Upcoming regulatory changes,GreenLeaf Co.,High
"5153 Morrison Keys St, Boston",Work Orders,Completion Rate,Completion Rates below 50%,EverGrow Farms,Low
"6028 Robert Way St, Miami",Energy Usage,Peak Hours,High energy usage during peak hours,NexaRetail,Medium
"7338 Gregory Lake St, Houston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,NexaRetail,Medium
"148 Jackson Wells St, Dallas",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Critical
"1582 Matthew Common St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,Quantum Dynamics,Medium
"7575 Romero Mountain St, Atlanta",Work Orders,Completion Rate,Completion Rates below 50%,StreamView Media,Critical
"6252 Norman Forges St, Seattle",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"3258 Justin Plaza St, Seattle",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Medium
"9362 Denise Run St, Los Angeles",Work Orders,Preventative,High number of reactive work orders,TechSphere Inc.,Medium
"2635 Scott Glen St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,GreenLeaf Co.,Medium
"4207 James Junctions St, Houston",Work Orders,Completion Rate,Completion Rates below 50%,TechSphere Inc.,High
"2186 Bradley Rest St, Los Angeles",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,StreamView Media,Medium
"8098 Reed Ramp St, Boston",Work Orders,Completion Rate,Completion Rates below 50%,Bank of ACME,Low
"6912 Gregory Overpass St, San Francisco",Compliance,Compliance Score,Multiple non-compliance incidents,NexaRetail,Low
"8463 Martinez Port St, Dallas",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,Critical
"7513 Hobbs Fields St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,EverGrow Farms,High
"8208 Nicholas Mills St, Boston",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,Critical
"7339 Kevin Village St, Los Angeles",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,GreenLeaf Co.,Critical
"7452 Christopher Groves St, Seattle",Compliance,Compliance Score,Multiple non-compliance incidents,TechSphere Inc.,Critical
"5808 Brian Parkway St, Los Angeles",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Low
"8948 Jamie Center St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,StreamView Media,Medium
"5975 Wheeler Pike St, Miami",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Critical
"3241 Morales Rest St, Miami",Leases,Renewal Rate,Low renewal rates,Quantum Dynamics,High
"5767 Guzman Ferry St, Atlanta",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Low
"1314 Amanda Shoal St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Low
"5367 Kennedy Park St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,Bank of ACME,Low
"8311 Cole Tunnel St, San Francisco",Energy Usage,Energy Efficiency,High energy usage during peak hours,EverGrow Farms,High
"9013 Scott Gateway St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Bank of ACME,Critical
"3765 Jennifer Street St, Boston",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Medium
"6336 Christine Dale St, Atlanta",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,High
"6169 Fischer Camp St, Miami",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,Low
"6426 Evan Roads St, Houston",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Low
"5163 Benjamin Isle St, Miami",Work Orders,Reactive,High number of reactive work orders,EverGrow Farms,Medium
"2677 Brenda Center St, New York",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,TechSphere Inc.,Medium
"7240 Bauer Stravenue St, Atlanta",Leases,Expiring,Low renewal rates,GreenLeaf Co.,Low
"6581 Peters Junction St, Seattle",Compliance,Regulatory Updates,Multiple non-compliance incidents,NexaRetail,Medium
"6639 Brian Mountain St, San Francisco",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,Bank of ACME,High
"342 Ross Villages St, San Francisco",Compliance,Regulatory Updates,Multiple non-compliance incidents,Quantum Dynamics,Critical
"6217 Michael Club St, Boston",Leases,Occupancy,Low renewal rates,StreamView Media,Critical
"4072 Montgomery Extension St, Boston",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,High
"2434 Kelly Isle St, Miami",Compliance,Regulatory Updates,Upcoming regulatory changes,Bank of ACME,Low
"5584 Vincent Groves St, Chicago",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Low
"6168 Catherine Track St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,Quantum Dynamics,Medium
"6639 Nathaniel Mall St, Chicago",Compliance,Regulatory Updates,Multiple non-compliance incidents,EverGrow Farms,Low
"8437 Cooper Expressway St, Atlanta",Compliance,Compliance Score,Upcoming regulatory changes,GreenLeaf Co.,High
"2448 Mark Ville St, San Francisco",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,Low
"6678 Gross Point St, Boston",Compliance,Regulatory Updates,Upcoming regulatory changes,Skyline Properties,Low
"3461 Corey Ville St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,EverGrow Farms,High
"7204 Wilson Parks St, New York",Leases,Renewal Rate,Low renewal rates,TechSphere Inc.,Critical
"3717 Johnston Groves St, Seattle",Work Orders,Preventative,Completion Rates below 50%,Quantum Dynamics,Medium
"6726 Jamie Groves St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Low
"978 Tracie Bypass St, Atlanta",Leases,Renewal Rate,High number of expiring leases,StreamView Media,Critical
"3298 Charles Lakes St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,NexaRetail,Low
"5084 Brown Burg St, Chicago",Work Orders,Reactive,Completion Rates below 50%,EverGrow Farms,High
"7849 Timothy Square St, Boston",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Medium
"6114 Christopher Ford St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,TechSphere Inc.,Medium
"5922 Stewart Rapid St, Chicago",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,Critical
"1727 Blankenship Greens St, Miami",Leases,Renewal Rate,Low renewal rates,TechSphere Inc.,High
"2735 Miranda Neck St, Chicago",Energy Usage,Energy Efficiency,High energy usage during peak hours,Bank of ACME,Critical
"4207 Stephen Hills St, Houston",Leases,Expiring,High number of expiring leases,Skyline Properties,High
"8592 Rowe Cove St, Houston",Leases,Renewal Rate,High number of expiring leases,GreenLeaf Co.,High
"8237 Bryant Curve St, Boston",Work Orders,Preventative,High number of reactive work orders,Bank of ACME,Critical
"2008 Christine Brooks St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Low
"7182 Ashley Cliffs St, Chicago",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,TechSphere Inc.,High
"2454 Christine Gardens St, Houston",Leases,Expiring,High number of expiring leases,NexaRetail,Medium
"9227 Cervantes Dale St, Chicago",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Medium
"1716 Michelle Fall St, Chicago",Leases,Occupancy,Low renewal rates,EverGrow Farms,Medium
"8836 Jennifer Mount St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,NexaRetail,High
"1097 Jacobs Union St, Houston",Work Orders,Completion Rate,High number of reactive work orders,GreenLeaf Co.,Low
"4260 Brandon Spurs St, Chicago",Work Orders,Completion Rate,Completion Rates below 50%,NexaRetail,High
"5004 May Trafficway St, Los Angeles",Work Orders,Completion Rate,High number of reactive work orders,EverGrow Farms,High
"6633 Hernandez Vista St, Chicago",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Medium
"7892 Paige Meadows St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Medium
"1291 Betty Well St, Chicago",Leases,Expiring,Low renewal rates,StreamView Media,Critical
"4891 Johnson Expressway St, Boston",Leases,Renewal Rate,Low renewal rates,StreamView Media,Low
"7963 Le Heights St, Atlanta",Compliance,Compliance Score,Multiple non-compliance incidents,EverGrow Farms,Medium
"958 Amber Drives St, Houston",Compliance,Compliance Score,Upcoming regulatory changes,Bank of ACME,Medium
"6787 Anderson Lights St, Seattle",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,EverGrow Farms,High
"9101 Jack Cliff St, Houston",Work Orders,Reactive,Completion Rates below 50%,TechSphere Inc.,Critical
"1363 Laura Ports St, Houston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,Medium
"8353 Cox Spurs St, Houston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,High
"310 Daniel Ville St, Miami",Work Orders,Completion Rate,High number of reactive work orders,EverGrow Farms,Low
"2788 Jason Valleys St, Houston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Low
"3269 Cohen View St, Miami",Energy Usage,Peak Hours,Low energy efficiency,EverGrow Farms,Critical
"1286 Jones Plains St, Houston",Energy Usage,Energy Efficiency,High energy usage during peak hours,NexaRetail,Critical
"6229 Banks Parkways St, Los Angeles",Leases,Expiring,Low renewal rates,Skyline Properties,High
"9185 Heather Plaza St, San Francisco",Compliance,Compliance Score,Upcoming regulatory changes,NexaRetail,Critical
"2850 David Causeway St, Atlanta",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,Critical
"4186 Benjamin Branch St, Seattle",Leases,Expiring,High number of expiring leases,StreamView Media,Medium
"7244 Kimberly Well St, Dallas",Work Orders,Preventative,High number of reactive work orders,Skyline Properties,Critical
"1990 Reid Mission St, San Francisco",Energy Usage,Peak Hours,High energy usage during peak hours,Skyline Properties,Critical
"4370 Joseph Lodge St, San Francisco",Leases,Occupancy,Low renewal rates,Quantum Dynamics,High
"6595 Chad Centers St, Boston",Leases,Expiring,High number of expiring leases,GreenLeaf Co.,Medium
"950 Timothy Street St, New York",Budgets,Budget Compliance,Energy Costs above 15% mean,Skyline Properties,Critical
"3178 John Mews St, Boston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Skyline Properties,High
"8203 Joseph Ville St, Seattle",Work Orders,Preventative,High number of reactive work orders,TechSphere Inc.,Critical
"6813 Shelton Mills St, Chicago",Compliance,Compliance Score,Multiple non-compliance incidents,GreenLeaf Co.,Medium
"813 Douglas Points St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,Skyline Properties,Critical
"4321 Houston Manor St, Atlanta",Compliance,Compliance Score,Upcoming regulatory changes,Skyline Properties,Medium
"5490 Bell Road St, Houston",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,StreamView Media,Medium
"6042 Daniel Spring St, Chicago",Energy Usage,Energy Efficiency,High energy usage during peak hours,GreenLeaf Co.,Critical
"3823 Lee Square St, San Francisco",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,Low
"9828 Smith Oval St, Los Angeles",Energy Usage,Off-Hours,Low energy efficiency,GreenLeaf Co.,High
"5347 Tracy Forges St, New York",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,Medium
"676 Lewis Greens St, New York",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Bank of ACME,Critical
"5664 Sarah Islands St, Chicago",Energy Usage,Off-Hours,High energy usage during peak hours,EverGrow Farms,Low
"3056 Amy Canyon St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,GreenLeaf Co.,Low
"2446 Ford Roads St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,NexaRetail,Low
"136 Benjamin Light St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,Bank of ACME,Critical
"3884 Mary Run St, Atlanta",Work Orders,Completion Rate,High number of reactive work orders,NexaRetail,High
"3196 Wilcox Plains St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,High
"5382 Little Crest St, Los Angeles",Energy Usage,Energy Efficiency,Low energy efficiency,GreenLeaf Co.,Critical
"183 Combs Pass St, Los Angeles",Leases,Expiring,Low renewal rates,Skyline Properties,Medium
"5813 David Point St, New York",Work Orders,Reactive,Completion Rates below 50%,Skyline Properties,High
"9963 Taylor Garden St, Houston",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,Skyline Properties,High
"8255 Michael Club St, Miami",Compliance,Compliance Score,Upcoming regulatory changes,EverGrow Farms,Critical
"8247 Lawrence Ranch St, Atlanta",Work Orders,Preventative,Completion Rates below 50%,TechSphere Inc.,Medium
"2461 Nathan Divide St, Dallas",Leases,Renewal Rate,High number of expiring leases,Skyline Properties,Critical
"6609 Morris Mountains St, New York",Leases,Renewal Rate,High number of expiring leases,StreamView Media,Critical
"4663 Hoffman Harbors St, Chicago",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,EverGrow Farms,Low
"5669 Andrew Light St, Miami",Compliance,Compliance Score,Multiple non-compliance incidents,Quantum Dynamics,Critical
"1902 Tina Forge St, Boston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,High
"5795 David Ridge St, Dallas",Work Orders,Preventative,High number of reactive work orders,NexaRetail,Low
"8300 Jones Village St, Miami",Work Orders,Completion Rate,Completion Rates below 50%,Skyline Properties,Low
"186 Tamara Estates St, New York",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,NexaRetail,High
"7364 Anderson Islands St, Los Angeles",Leases,Renewal Rate,High number of expiring leases,NexaRetail,High
"6928 Conley Wall St, Dallas",Compliance,Regulatory Updates,Upcoming regulatory changes,TechSphere Inc.,Low
"339 Ochoa Roads St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,StreamView Media,Low
"7958 Coleman Islands St, Seattle",Leases,Expiring,Low renewal rates,EverGrow Farms,Critical
"2843 Hoover Divide St, Dallas",Work Orders,Completion Rate,Completion Rates below 50%,TechSphere Inc.,High
"5704 Angelica Port St, Seattle",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,High
"7094 Jessica Underpass St, Atlanta",Energy Usage,Peak Hours,High energy usage during peak hours,Bank of ACME,Critical
"406 Torres Cliffs St, Miami",Work Orders,Reactive,Completion Rates below 50%,Bank of ACME,Low
"3297 Chad Common St, Houston",Energy Usage,Peak Hours,High energy usage during peak hours,Bank of ACME,Medium
"2039 Jacqueline Springs St, Dallas",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,TechSphere Inc.,High
"2122 Jacqueline Crest St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,Skyline Properties,High
"3369 Goodman Fords St, Dallas",Compliance,Regulatory Updates,Upcoming regulatory changes,Quantum Dynamics,Critical
"3563 Merritt Camp St, Miami",Budgets,Budget Compliance,Janitorial Budget above 20% mean,NexaRetail,High
"2236 Eric Passage St, Houston",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,Low
"9472 Edward Flat St, Miami",Work Orders,Preventative,Completion Rates below 50%,GreenLeaf Co.,High
"8409 Craig Branch St, San Francisco",Leases,Occupancy,High number of expiring leases,Quantum Dynamics,Critical
"4469 Scott Motorway St, Miami",Work Orders,Reactive,High number of reactive work orders,TechSphere Inc.,High
"324 Jennifer Ridge St, Miami",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Medium
"4095 Bryan Burg St, New York",Energy Usage,Energy Efficiency,High energy usage during peak hours,GreenLeaf Co.,Low
"7570 Ortiz Manors St, Houston",Budgets,Energy Cost Variance,Janitorial Budget above 20% mean,TechSphere Inc.,High
"9452 Natalie Stravenue St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Critical
"9346 Rivera Shoals St, Seattle",Energy Usage,Energy Efficiency,Low energy efficiency,NexaRetail,Low
"3562 Powell Glens St, New York",Leases,Expiring,High number of expiring leases,NexaRetail,High
"3541 Gonzales Street St, Dallas",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Quantum Dynamics,Low
"7849 Joshua Trail St, Houston",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,Critical
"9569 Ashley Crest St, Miami",Leases,Renewal Rate,Low renewal rates,GreenLeaf Co.,Medium
"5719 Melissa Flat St, Atlanta",Energy Usage,Energy Efficiency,Low energy efficiency,Bank of ACME,Critical
"3709 Erica Wells St, New York",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,High
"9071 James Path St, New York",Compliance,Regulatory Updates,Multiple non-compliance incidents,Bank of ACME,High
"5257 Timothy Island St, Seattle",Energy Usage,Peak Hours,High energy usage during peak hours,GreenLeaf Co.,Medium
"7503 Travis Bridge St, New York",Leases,Expiring,High number of expiring leases,NexaRetail,Medium
"5992 Knight Hills St, Seattle",Leases,Expiring,Low renewal rates,Quantum Dynamics,High
"6583 Theresa Stravenue St, Boston",Leases,Renewal Rate,High number of expiring leases,GreenLeaf Co.,High
"4592 Ashley Land St, Miami",Leases,Renewal Rate,Low renewal rates,EverGrow Farms,Low
"4608 Brown Springs St, Dallas",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,NexaRetail,Medium
"8288 Regina Branch St, Houston",Compliance,Compliance Score,Multiple non-compliance incidents,Skyline Properties,High
"7830 Dickerson Views St, San Francisco",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Skyline Properties,Medium
"2504 Richard Cliff St, Miami",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Skyline Properties,Critical
"9327 Ian Islands St, Los Angeles",Leases,Occupancy,High number of expiring leases,TechSphere Inc.,Critical
"9668 Fuller Harbors St, Boston",Work Orders,Completion Rate,High number of reactive work orders,NexaRetail,Critical
"3688 Murphy Lodge St, Seattle",Leases,Renewal Rate,High number of expiring leases,EverGrow Farms,Medium
"4314 Tammy Valley St, Boston",Budgets,Budget Compliance,Janitorial Budget above 20% mean,StreamView Media,Medium
"1408 Tucker Crescent St, Miami",Energy Usage,Peak Hours,Low energy efficiency,NexaRetail,Low
"7299 Owen Burgs St, Miami",Compliance,Compliance Score,Upcoming regulatory changes,TechSphere Inc.,High
"2070 Michael Square St, Chicago",Energy Usage,Off-Hours,High energy usage during peak hours,Skyline Properties,Critical
"9307 Osborne Course St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Medium
"4799 David Throughway St, Miami",Leases,Renewal Rate,Low renewal rates,Skyline Properties,High
"1518 Sims Fields St, Dallas",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Medium
"2695 Hernandez Viaduct St, San Francisco",Budgets,Budget Compliance,Janitorial Budget above 20% mean,EverGrow Farms,Medium
"1674 John View St, New York",Work Orders,Reactive,High number of reactive work orders,Bank of ACME,High
"6075 Jenkins Loaf St, Boston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,GreenLeaf Co.,Medium
"1268 Joy Road St, Houston",Energy Usage,Off-Hours,High energy usage during peak hours,TechSphere Inc.,Low
"7821 Hill Club St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,Quantum Dynamics,High
"6475 Carlos Bypass St, Seattle",Energy Usage,Off-Hours,High energy usage during peak hours,GreenLeaf Co.,High
"8566 Hernandez Plains St, New York",Energy Usage,Peak Hours,High energy usage during peak hours,Quantum Dynamics,Low
"8080 Christopher Prairie St, Miami",Work Orders,Reactive,Completion Rates below 50%,NexaRetail,Low
"3508 David Neck St, San Francisco",Leases,Renewal Rate,High number of expiring leases,Bank of ACME,Critical
"1302 Martin Road St, Houston",Budgets,Budget Compliance,Energy Costs above 15% mean,Skyline Properties,High
"7802 Brenda Tunnel St, Dallas",Compliance,Regulatory Updates,Multiple non-compliance incidents,StreamView Media,Low
"2671 Connie View St, Chicago",Leases,Occupancy,Low renewal rates,EverGrow Farms,High
"7168 Diana Branch St, New York",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Medium
"412 Paul Mountain St, New York",Energy Usage,Off-Hours,Low energy efficiency,TechSphere Inc.,High
"5899 Smith Orchard St, Miami",Work Orders,Reactive,High number of reactive work orders,StreamView Media,High
"6323 Caldwell Trail St, Los Angeles",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Critical
"2714 Vincent Summit St, Boston",Leases,Occupancy,Low renewal rates,GreenLeaf Co.,Critical
"5668 Boyd Points St, Dallas",Compliance,Non-Compliance Incidents,Multiple non-compliance incidents,Skyline Properties,High
"6645 Adams Well St, Miami",Energy Usage,Off-Hours,High energy usage during peak hours,StreamView Media,Critical
"7718 Tyler Avenue St, New York",Work Orders,Preventative,Completion Rates below 50%,NexaRetail,Medium
"8269 Mendoza Fork St, New York",Work Orders,Preventative,High number of reactive work orders,Skyline Properties,Medium
"3580 Isaiah Lakes St, Chicago",Work Orders,Preventative,Completion Rates below 50%,EverGrow Farms,High
"3530 Hubbard Throughway St, Atlanta",Budgets,Energy Cost Variance,Energy Costs above 15% mean,Bank of ACME,Low
"433 Carter Curve St, Atlanta",Energy Usage,Off-Hours,Low energy efficiency,Quantum Dynamics,Low
"3806 Perez Summit St, Boston",Work Orders,Reactive,Completion Rates below 50%,StreamView Media,Low
"7214 Wilson Freeway St, New York",Energy Usage,Off-Hours,Low energy efficiency,Skyline Properties,High
"1822 Alexis Spurs St, San Francisco",Leases,Renewal Rate,Low renewal rates,GreenLeaf Co.,High
"2208 Michael Crossing St, Boston",Energy Usage,Energy Efficiency,High energy usage during peak hours,Skyline Properties,High
"3912 Webb Fields St, Boston",Leases,Renewal Rate,Low renewal rates,NexaRetail,Medium
"7763 Edward Underpass St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,EverGrow Farms,Low
"3571 Kevin Mills St, Atlanta",Budgets,Janitorial Expenses 10% Over Mean,Janitorial Budget above 20% mean,EverGrow Farms,High
"2523 Billy Glens St, Dallas",Compliance,Compliance Score,Upcoming regulatory changes,GreenLeaf Co.,High
"7580 Christopher Knolls St, New York",Budgets,Budget Compliance,Janitorial Budget above 20% mean,GreenLeaf Co.,High
"6963 Wesley Summit St, Los Angeles",Work Orders,Reactive,Completion Rates below 50%,Quantum Dynamics,Low
"6752 Sean Inlet St, Houston",Budgets,Energy Cost Variance,Energy Costs above 15% mean,TechSphere Inc.,Low
"128 Cooper Island St, Dallas",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,Critical
"7167 Michael Key St, San Francisco",Work Orders,Preventative,Completion Rates below 50%,Bank of ACME,Critical
"1300 Donna Loaf St, Los Angeles",Budgets,Janitorial Expenses 10% Over Mean,Energy Costs above 15% mean,StreamView Media,Medium
"7580 Daniel Corners St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,NexaRetail,Medium
"7205 Natalie Stream St, Seattle",Work Orders,Completion Rate,High number of reactive work orders,Quantum Dynamics,Medium
"5853 William Port St, Los Angeles",Compliance,Regulatory Updates,Upcoming regulatory changes,NexaRetail,High
"9369 Williams Spring St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,StreamView Media,Critical
"8528 Sarah Rapid St, San Francisco",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,TechSphere Inc.,Critical
"6403 Dickerson Points St, Atlanta",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,NexaRetail,Critical
"9087 Pamela Meadow St, Dallas",Compliance,Non-Compliance Incidents,Upcoming regulatory changes,StreamView Media,High
"1222 Jennifer Heights St, Dallas",Budgets,Budget Compliance,Energy Costs above 15% mean,EverGrow Farms,High
"6483 Dixon Hills St, Boston",Energy Usage,Peak Hours,Low energy efficiency,NexaRetail,Low
"4404 Robinson Radial St, New York",Energy Usage,Off-Hours,High energy usage during peak hours,Quantum Dynamics,Critical
